:START_ID(AcquiredPoint),:END_ID(DataPoint),:TYPE
-8959359110577355964,-6464651650585887677,DataPoint
-8959064864484371694,5633071282474936649,DataPoint
-8957946138012549023,-1943247991744881273,DataPoint
-8957808171641834134,-7359470002711444108,DataPoint
-8957676386427241228,-5473020888422529961,DataPoint
-8957618612238760448,6184166125322478171,DataPoint
-8957201439030055782,9172469043832294327,DataPoint
-8957021489185111697,2007117552201740649,DataPoint
-8956306486376392785,6567096021750531126,DataPoint
-8954337655566305024,-7708291528914582420,DataPoint
-8953821536929367753,4289924547671894220,DataPoint
-8953626064472668802,-147279165411200782,DataPoint
-8953557632269918971,8237797997585450982,DataPoint
-8950025784247284861,8288837357799345087,DataPoint
-8949836017315725923,-1363619737792666951,DataPoint
-8949551469443237821,994866972177147178,DataPoint
-8949188532399660215,-5902388810790426270,DataPoint
-8949104805218501233,-6429224564021299589,DataPoint
-8947696892211722669,50511669530153989,DataPoint
-8946378460485312025,-5902388810790426270,DataPoint
-8945623463371455967,-8015115745946482211,DataPoint
-8945145323994543982,-7414915297272803105,DataPoint
-8944846064775254332,-3822386420320960849,DataPoint
-8944740379754363719,5502994436731763927,DataPoint
-8944680018956249691,4442536933963322942,DataPoint
-8943229729775636208,3347078228020056874,DataPoint
-8940943472111183914,-4019351474211831988,DataPoint
-8939628201823689169,6712212224121066747,DataPoint
-8939455853546332250,-6593422834502324716,DataPoint
-8938902468618888207,-587998792699864239,DataPoint
-8937873779197430473,-1360466901646309596,DataPoint
-8937248464302858125,-4285821900599484157,DataPoint
-8936547905505416549,-4285821900599484157,DataPoint
-8934821964705061741,3169333405755331065,DataPoint
-8934072913138883337,5834882132881360976,DataPoint
-8933742521781007637,255041909978111336,DataPoint
-8933660517206848165,-1943247991744881273,DataPoint
-8933352755651998524,-3374465122017082816,DataPoint
-8933170043676422507,-6323185844481532013,DataPoint
-8932132386726482467,4486505010488519050,DataPoint
-8931011535153684900,-4170981799333512930,DataPoint
-8929104436239578792,-2411162311537972639,DataPoint
-8929095824022098388,6852134207894979538,DataPoint
-8928855833543976515,6230617965214343981,DataPoint
-8928755484856271341,-7796288117367534758,DataPoint
-8928553368677514980,-4106887350265432550,DataPoint
-8927319838551150807,628281428527333930,DataPoint
-8927175835754398862,-1964903838634371121,DataPoint
-8925749397286558746,5826522902557241743,DataPoint
-8925697618011795628,-8584631714929899164,DataPoint
-8925630356874158872,-5044075491901839921,DataPoint
-8924972765487911505,-1943247991744881273,DataPoint
-8924226055143698345,-8420545502744499286,DataPoint
-8924156807898095756,-4286116086816162344,DataPoint
-8924119188875410360,-3827264414469826764,DataPoint
-8923153595305873236,8738725814823506476,DataPoint
-8922819011403029549,-767125499386215193,DataPoint
-8922516966869231468,-2119461428372176803,DataPoint
-8921945582245023103,-7573711229010500040,DataPoint
-8921110642133174675,-6623594200490381592,DataPoint
-8920240086845144735,-2605769710354734579,DataPoint
-8919052813466242455,1615179447846403173,DataPoint
-8918913518415295696,-5136369798597093155,DataPoint
-8917766664099773226,6048361804962262178,DataPoint
-8917301182513808882,3111253364727477595,DataPoint
-8917234363814920587,26509995435247197,DataPoint
-8916919244480985505,5849080221813580520,DataPoint
-8916245514271362832,3763752220587737635,DataPoint
-8915312967699373494,-8966073595887122578,DataPoint
-8915084146665190000,-7315681560399614650,DataPoint
-8913617471999821263,-515497596357077284,DataPoint
-8912902602453825400,-850838976784033655,DataPoint
-8912741671847241156,1772157545352428127,DataPoint
-8912550934751455670,3111253364727477595,DataPoint
-8911948823454647220,-7469463114722689664,DataPoint
-8911770902184478932,-2925025384902009946,DataPoint
-8911678905824868541,3187641532366234034,DataPoint
-8909889233696399923,-2190750915662269960,DataPoint
-8909869330728881139,5649723483193569771,DataPoint
-8908646058127955408,8074813073043485299,DataPoint
-8907492795592531505,-4138400819694905562,DataPoint
-8907140482072352312,-424942856488150780,DataPoint
-8905601282511596221,-3533523101956952860,DataPoint
-8905198145773240975,5849080221813580520,DataPoint
-8905155200135330133,-8584631714929899164,DataPoint
-8904226861988573564,-7079399585073114153,DataPoint
-8901824635210554672,-1002724051348395610,DataPoint
-8901780242740029916,-8966073595887122578,DataPoint
-8901679164410049850,2007117552201740649,DataPoint
-8901368111902980262,-3794207581563099798,DataPoint
-8900729948137130679,6762025442525471925,DataPoint
-8897410677918909499,6572994254794162501,DataPoint
-8896718641779780241,6184166125322478171,DataPoint
-8896234744138526090,-4794914101060767082,DataPoint
-8895166805863003406,6230617965214343981,DataPoint
-8894746246754404506,3245967807872503568,DataPoint
-8894135917793355826,8614130483881762438,DataPoint
-8893126111652967397,-4157710559197894264,DataPoint
-8892995803786580834,6572994254794162501,DataPoint
-8892246681268121204,-7772885419950609881,DataPoint
-8891496902020661331,6158488300864379397,DataPoint
-8891452756598804435,-1786151914235030186,DataPoint
-8891421589730033656,-5235030103836723629,DataPoint
-8891213441832307619,1772157545352428127,DataPoint
-8890937423067380735,5649723483193569771,DataPoint
-8890707791496858085,4680920783900181838,DataPoint
-8890173183340920429,-8578873735341428416,DataPoint
-8888057720251199979,5837200614112843287,DataPoint
-8887686077503242174,-1363619737792666951,DataPoint
-8886686598983391729,7002982084647961925,DataPoint
-8886359654452099099,-5268872515968967676,DataPoint
-8885802793416780716,-3749540195089059296,DataPoint
-8885642941726522032,3347078228020056874,DataPoint
-8885458924649027977,6158488300864379397,DataPoint
-8884378224468386367,205209450853171831,DataPoint
-8881250635829716637,-7197741952579302372,DataPoint
-8880670253555762080,-3786157027243760643,DataPoint
-8879409805810065466,-7354470963609129697,DataPoint
-8879202901022760021,-6722382392903185077,DataPoint
-8878227745371696682,5440925227133709451,DataPoint
-8877609967519092279,2940255051291319326,DataPoint
-8877184631866412463,5410947121347882853,DataPoint
-8876032116204824381,-8547910283976048215,DataPoint
-8874926210431382564,-197568753527244972,DataPoint
-8873062695207780746,7328197117602129882,DataPoint
-8872122018667057479,-7573711229010500040,DataPoint
-8871867697634175443,205209450853171831,DataPoint
-8871202894141309309,994866972177147178,DataPoint
-8870700654951628866,8288837357799345087,DataPoint
-8870651255584802924,7955532306756094023,DataPoint
-8870315247244703342,-4794914101060767082,DataPoint
-8869624677817437303,-2119461428372176803,DataPoint
-8869572983700065129,-7652749906143060367,DataPoint
-8867438740169306770,-56162526912972305,DataPoint
-8866944561159694241,-1964903838634371121,DataPoint
-8866107420789160131,8129587195639391968,DataPoint
-8865755266879768611,-3341500039365543862,DataPoint
-8864908351662714608,-8966073595887122578,DataPoint
-8864802275033726967,4503462009399587809,DataPoint
-8863869414487216680,4442092314028715889,DataPoint
-8863797097551343767,-7354470963609129697,DataPoint
-8863601313176628976,1554950219842605513,DataPoint
-8862459637362171355,-587998792699864239,DataPoint
-8862297099997291284,-8146906127921858665,DataPoint
-8861792809789881372,6712212224121066747,DataPoint
-8860808287917045678,5375205644880072775,DataPoint
-8860153174972635648,8651977188853429774,DataPoint
-8859508865311608187,1615179447846403173,DataPoint
-8857178648972367315,2854608764606661332,DataPoint
-8857038551534395002,-6593422834502324716,DataPoint
-8856743562303045243,6772972574815946712,DataPoint
-8856037288244551091,5826522902557241743,DataPoint
-8854986931187910997,1072192838100599689,DataPoint
-8854938918010729126,-1059501172949486794,DataPoint
-8854591702695418355,678685911433745605,DataPoint
-8854314583488939950,-8566787001995331970,DataPoint
-8854173136270682508,2437218390141491670,DataPoint
-8854016017983595704,5502994436731763927,DataPoint
-8853464373539353725,-1445011132548937410,DataPoint
