acquiredPointID:ID(AcquiredPoint),iteration:int,:LABEL
-8839527884261012143,62,AcquiredPoint
-8838872721655908001,25,AcquiredPoint
-8838477990063049236,67,AcquiredPoint
-8838168300953884870,142,AcquiredPoint
-8837952012337796030,76,AcquiredPoint
-8836707334976529713,122,AcquiredPoint
-8836553319768340758,145,AcquiredPoint
-8835745268217608035,2,AcquiredPoint
-8835528038725417608,78,AcquiredPoint
-8833652277899791250,99,AcquiredPoint
-8833450192737706925,13,AcquiredPoint
-8832868842350692295,47,AcquiredPoint
-8832291933335793157,118,AcquiredPoint
-8832206235476952747,45,AcquiredPoint
-8831737275699790696,15,AcquiredPoint
-8831615368564796236,146,AcquiredPoint
-8830971404762622960,6,AcquiredPoint
-8830285958886145826,9,AcquiredPoint
-8828072592780913516,17,AcquiredPoint
-8828063113283530632,55,AcquiredPoint
-8827620174981509846,76,AcquiredPoint
-8827042535889719439,14,AcquiredPoint
-8826573306877147804,17,AcquiredPoint
-8826220360008018756,118,AcquiredPoint
-8826116293237033153,114,AcquiredPoint
-8825815983123560738,16,AcquiredPoint
-8825101777766873163,25,AcquiredPoint
-8824839440487592423,4,AcquiredPoint
-8823772512481884624,64,AcquiredPoint
-8822690407021661152,54,AcquiredPoint
-8822675327860063174,46,AcquiredPoint
-8822636322926385417,25,AcquiredPoint
-8822505475752200937,7,AcquiredPoint
-8821216383028138725,52,AcquiredPoint
-8820192917442049449,45,AcquiredPoint
-8819734346801498326,60,AcquiredPoint
-8819108217569707920,108,AcquiredPoint
-8819048534295899018,96,AcquiredPoint
-8818679498708180350,120,AcquiredPoint
-8817015142684932460,133,AcquiredPoint
-8816631767799975941,55,AcquiredPoint
-8816538591814078136,36,AcquiredPoint
-8816448366333000120,70,AcquiredPoint
-8816222112563317545,12,AcquiredPoint
-8816185512413841759,61,AcquiredPoint
-8815132452599660199,53,AcquiredPoint
-8815128438948780463,28,AcquiredPoint
-8814566783074210534,8,AcquiredPoint
-8814340059728561231,51,AcquiredPoint
-8813572368808311035,25,AcquiredPoint
-8813552327313432941,60,AcquiredPoint
-8813319989592111328,22,AcquiredPoint
-8813195078137219904,2,AcquiredPoint
-8812400301829905207,40,AcquiredPoint
-8812140923016223430,111,AcquiredPoint
-8812010280161340511,69,AcquiredPoint
-8811671093119188331,82,AcquiredPoint
-8811461719246400270,2,AcquiredPoint
-8809439828722305845,126,AcquiredPoint
-8809383328029822845,61,AcquiredPoint
-8808650901314950746,38,AcquiredPoint
-8808526358772955775,20,AcquiredPoint
-8808051925896712895,131,AcquiredPoint
-8807767152870771051,97,AcquiredPoint
-8807357084816173627,75,AcquiredPoint
-8806887508535096754,26,AcquiredPoint
-8806569287609750944,73,AcquiredPoint
-8805868199550656057,67,AcquiredPoint
-8805080640408118613,62,AcquiredPoint
-8804395531347548910,38,AcquiredPoint
-8804316345162290864,58,AcquiredPoint
-8803714268491875773,145,AcquiredPoint
-8803594866506651976,144,AcquiredPoint
-8801429370541985001,141,AcquiredPoint
-8801201003228261435,28,AcquiredPoint
-8800823204007476277,28,AcquiredPoint
-8800444892315244706,42,AcquiredPoint
-8800247729980310692,128,AcquiredPoint
-8799939931499343030,26,AcquiredPoint
-8798708307066580599,76,AcquiredPoint
